,top_x,top_y,bottom_x,bottom_y
872,3933.6486486486488,1066.8815603371834,3933.6486486486488,-1048.8815603371834
873,3938.1081081081084,1067.771769990878,3938.1081081081084,-1049.771769990878
874,3942.567567567568,1068.3911431990834,3942.567567567568,-1050.3911431990834
875,3947.027027027027,1068.8383691823658,3947.027027027027,-1050.8383691823658
876,3951.4864864864867,1069.2121371612905,3951.4864864864867,-1051.2121371612905
877,3955.9459459459463,1069.6111363564235,3955.9459459459463,-1051.6111363564235
878,3960.4054054054054,1070.1340400820006,3960.4054054054054,-1052.1340400820006
879,3964.864864864865,1070.8520991403927,3964.864864864865,-1052.8520991403927
880,3969.3243243243246,1071.7528811350585,3969.3243243243246,-1053.7528811350585
881,3973.7837837837837,1072.808047340068,3973.7837837837837,-1054.808047340068
882,3978.2432432432433,1073.9892590294908,3978.2432432432433,-1055.9892590294908
883,3982.702702702703,1075.268177477398,3982.702702702703,-1057.268177477398
884,3987.1621621621625,1076.6164639578594,3987.1621621621625,-1058.6164639578594
885,3991.6216216216217,1078.0057797449447,3991.6216216216217,-1060.0057797449447
886,3996.0810810810813,1079.407786112724,3996.0810810810813,-1061.407786112724
887,4000.540540540541,1080.7941443352681,4000.540540540541,-1062.7941443352681
888,4005.0,1082.1365156866466,4005.0,-1064.1365156866466
889,4009.4594594594596,1083.4137288424433,4009.4594594594596,-1065.4137288424433
890,4013.918918918919,1084.633282084299,4013.918918918919,-1066.633282084299
891,4018.3783783783783,1085.809841095367,4018.3783783783783,-1067.809841095367
892,4022.837837837838,1086.958071558801,4022.837837837838,-1068.958071558801
893,4027.2972972972975,1088.0926391577548,4027.2972972972975,-1070.0926391577548
894,4031.756756756757,1089.2282095753828,4031.756756756757,-1071.2282095753828
895,4036.2162162162163,1090.3794484948385,4036.2162162162163,-1072.3794484948385
896,4040.675675675676,1091.561021599276,4040.675675675676,-1073.561021599276
897,4045.1351351351354,1092.7875945718486,4045.1351351351354,-1074.7875945718486
898,4049.5945945945946,1094.0738330957108,4049.5945945945946,-1076.0738330957108
899,4054.054054054054,1095.4287692840385,4054.054054054054,-1077.4287692840385
