,100_top_x,100_top_y,100_bottom_x,100_bottom_y
0,4.5,121.5,4.5,-103.5
1,9.0,102.93487254806426,9.0,-84.93487254806426
2,13.5,86.56215489049949,13.5,-68.56215489049949
3,18.0,72.25273289952308,18.0,-54.25273289952308
4,22.5,59.87749244735253,22.5,-41.87749244735253
5,27.0,49.30731940620528,27.0,-31.30731940620528
6,31.5,40.41309964829874,31.5,-22.41309964829874
7,36.0,33.06571904585036,36.0,-15.065719045850361
8,40.5,27.13606347107761,40.5,-9.136063471077609
9,45.0,22.495018796197904,45.0,-4.495018796197902
10,49.5,19.013470893428686,49.5,-1.0134708934286856
11,54.0,16.56230563498741,54.0,1.4376943650125913
12,58.5,15.012408893091504,58.5,2.9875911069084955
13,63.0,14.234666539958415,63.0,3.7653334600415844
14,67.5,14.09996444780559,67.5,3.9000355521944092
15,72.0,14.479188488850465,72.0,3.5208115111495353
16,76.5,15.243224535310484,76.5,2.7567754646895164
17,81.0,16.262958459403087,81.0,1.7370415405969144
18,85.5,17.409276133345713,85.5,0.5907238666542867
19,90.0,18.55306342935581,90.0,-0.5530634293558112
20,94.5,19.56520621965082,94.5,-1.56520621965082
21,99.0,20.331738015001246,99.0,-2.331738015001246
22,103.5,20.844331001628603,103.5,-2.844331001628605
23,108.0,21.13964315103204,108.0,-3.1396431510320397
24,112.5,21.25449866394036,112.5,-3.2544986639403586
25,117.0,21.225721741082367,117.0,-3.2257217410823653
26,121.5,21.09013658318686,121.5,-3.0901365831868617
27,126.0,20.88456739098266,126.0,-2.88456739098266
28,130.5,20.645838365198564,130.5,-2.645838365198564
29,135.0,20.41077370656338,135.0,-2.410773706563379
30,139.5,20.216197615805907,139.5,-2.216197615805907
31,144.0,20.09577269276702,144.0,-2.095772692767019
32,148.5,20.053453603944142,148.5,-2.053453603944142
33,153.0,20.07691771126323,153.0,-2.0769177112632313
34,157.5,20.153675651603415,157.5,-2.153675651603413
35,162.0,20.27123806184382,162.0,-2.271238061843821
36,166.5,20.417115578863587,166.5,-2.417115578863589
37,171.0,20.578818839541846,171.0,-2.578818839541846
38,175.5,20.743858480757723,175.5,-2.743858480757723
39,180.0,20.89974513939035,180.0,-2.899745139390351
40,184.5,21.03398945231886,184.5,-3.0339894523188597
41,189.0,21.134882783631436,189.0,-3.1348827836314364
42,193.5,21.200868227306543,193.5,-3.200868227306543
43,198.0,21.237488259727986,198.0,-3.2374882597279857
44,202.5,21.250431032327327,202.5,-3.2504310323273273
45,207.0,21.245384696536114,207.0,-3.2453846965361137
46,211.5,21.228037403785905,211.5,-3.2280374037859065
47,216.0,21.204077305508264,216.0,-3.2040773055082656
48,220.5,21.17919255313474,220.5,-3.1791925531347403
