,0.9_top_x,0.9_top_y,0.9_bottom_x,0.9_bottom_y
0,4.5,112.5,4.5,-112.5
1,9.0,98.99244601288092,9.0,-98.99244601288092
2,13.5,87.09616468111328,13.5,-87.09616468111328
3,18.0,76.7177719293359,18.0,-76.7177719293359
4,22.5,67.76388368218772,22.5,-67.76388368218772
5,27.0,60.14111586430765,27.0,-60.14111586430765
6,31.5,53.75608440033448,31.5,-53.75608440033448
7,36.0,48.51540521490717,36.0,-48.51540521490717
8,40.5,44.32569423266457,40.5,-44.32569423266457
9,45.0,41.09356737824555,45.0,-41.09356737824555
10,49.5,38.72564057628902,49.5,-38.72564057628902
11,54.0,37.12852975143386,54.0,-37.12852975143386
12,58.5,36.20885082831894,58.5,-36.20885082831894
13,63.0,35.873219731583134,63.0,-35.873219731583134
14,67.5,36.02825238586535,67.5,-36.02825238586535
15,72.0,36.58056471580445,72.0,-36.58056471580445
16,76.5,37.43677264603932,76.5,-37.43677264603932
17,81.0,38.50349210120884,81.0,-38.50349210120884
18,85.5,39.687339005951905,85.5,-39.687339005951905
19,90.0,40.89492928490739,90.0,-40.89492928490739
20,94.5,42.03287886271417,94.5,-42.03287886271417
21,99.0,43.01829340202213,99.0,-43.01829340202213
22,103.5,43.841433336465855,103.5,-43.841433336465855
23,108.0,44.5237117509746,108.0,-44.5237117509746
24,112.5,45.08665684420062,112.5,-45.08665684420062
25,117.0,45.55179681479621,117.0,-45.55179681479621
26,121.5,45.940659861413614,121.5,-45.940659861413614
27,126.0,46.274774182705116,126.0,-46.274774182705116
28,130.5,46.57566797732301,130.5,-46.57566797732301
29,135.0,46.864869443919524,135.0,-46.864869443919524
30,139.5,47.16390678114695,139.5,-47.16390678114695
31,144.0,47.49246757961949,144.0,-47.49246757961949
32,148.5,47.85294418528123,148.5,-47.85294418528123
33,153.0,48.238252688630354,153.0,-48.238252688630354
34,157.5,48.64121211685046,157.5,-48.64121211685046
35,162.0,49.05464149712521,162.0,-49.05464149712521
36,166.5,49.47135985663823,166.5,-49.47135985663823
