,38.2_top_x,38.2_top_y,38.2_bottom_x,38.2_bottom_y
0,4.5,61.5,4.5,-43.5
1,9.0,54.20600494946027,9.0,-36.20600494946027
2,13.5,47.78585877373421,13.5,-29.785858773734212
3,18.0,42.18799921176151,18.0,-24.187999211761507
4,22.5,37.36086400248193,22.5,-19.36086400248193
5,27.0,33.25289088483518,27.0,-15.252890884835178
6,31.5,29.81251759776096,31.5,-11.812517597760959
7,36.0,26.988181880199004,36.0,-8.988181880199004
8,40.5,24.72832147108904,40.5,-6.728321471089039
9,45.0,22.98137410937078,45.0,-4.98137410937078
10,49.5,21.695777533983943,49.5,-3.6957775339839447
11,54.0,20.819969483868263,54.0,-2.8199694838682614
12,58.5,20.302387697963447,58.5,-2.3023876979634466
13,63.0,20.09146991520921,63.0,-2.0914699152092115
14,67.5,20.135653874545294,67.5,-2.1356538745452944
15,72.0,20.383377314911403,72.0,-2.383377314911403
16,76.5,20.78307797524726,76.5,-2.783077975247261
17,81.0,21.28319359449259,81.0,-3.283193594492591
18,85.5,21.83216191158711,85.5,-3.832161911587111
19,90.0,22.378420665470543,90.0,-4.378420665470543
20,94.5,22.870407595082607,94.5,-4.870407595082607
21,99.0,23.26261379923317,99.0,-5.2626137992331685
22,103.5,23.551746126498614,103.5,-5.551746126498612
23,108.0,23.752488824795325,108.0,-5.752488824795325
24,112.5,23.87959257122894,112.5,-5.87959257122894
25,117.0,23.947808042905095,117.0,-5.947808042905097
26,121.5,23.97188591692942,121.5,-5.97188591692942
27,126.0,23.96657687040755,126.0,-5.966576870407549
28,130.5,23.946631580445114,130.5,-5.946631580445114
29,135.0,23.92680072414775,135.0,-5.92680072414775
30,139.5,23.921834978621085,139.5,-5.921834978621085
31,144.0,23.945230765736042,144.0,-5.94523076573604
32,148.5,23.998698917648223,148.5,-5.998698917648223
33,153.0,24.07749281182827,153.0,-6.077492811828272
34,157.5,24.176799683380903,157.5,-6.176799683380903
35,162.0,24.29180676741085,162.0,-6.291806767410851
36,166.5,24.41770129902284,166.5,-6.417701299022841
37,171.0,24.549670513321605,171.0,-6.549670513321605
38,175.5,24.682901645411874,175.5,-6.682901645411874
39,180.0,24.812581930398373,180.0,-6.812581930398373
40,184.5,24.933898603385828,184.5,-6.933898603385828
41,189.0,25.042363661081456,189.0,-7.042363661081456
42,193.5,25.137711947851468,193.5,-7.137711947851468
43,198.0,25.22263146094292,198.0,-7.222631460942921
44,202.5,25.299870794519947,202.5,-7.299870794519947
45,207.0,25.372178542746667,207.0,-7.372178542746667
46,211.5,25.442303299787227,211.5,-7.442303299787227
47,216.0,25.512993659805748,216.0,-7.512993659805748
48,220.5,25.586998216966357,220.5,-7.586998216966357
49,225.0,25.667065565433187,225.0,-7.667065565433187
50,229.5,25.755944299370377,229.5,-7.755944299370377
51,234.0,25.85624808239351,234.0,-7.85624808239351
52,238.5,25.968061255011673,238.5,-7.968061255011673
53,243.0,26.089221813972273,243.0,-8.089221813972273
54,247.5,26.21748967121452,247.5,-8.21748967121452
55,252.0,26.350624738677634,252.0,-8.350624738677634
56,256.5,26.486386928300853,256.5,-8.486386928300853
57,261.0,26.622536152023386,261.0,-8.622536152023386
58,265.5,26.756832321784458,265.5,-8.756832321784458
59,270.0,26.8870353495233,270.0,-8.887035349523298
60,274.5,27.010905147179113,274.5,-9.010905147179113
61,279.0,27.126251659266984,279.0,-9.126251659266984
62,283.5,27.232324167443984,283.5,-9.232324167443984
63,288.0,27.329992608564066,288.0,-9.329992608564066
64,292.5,27.420213375772246,292.5,-9.420213375772246
65,297.0,27.503942862213556,297.0,-9.503942862213556
66,301.5,27.582137461032996,301.5,-9.582137461032996
67,306.0,27.6557535653756,306.0,-9.655753565375601
68,310.5,27.72574756838638,310.5,-9.725747568386382
69,315.0,27.793075863210372,315.0,-9.793075863210372
70,319.5,27.858694842992573,319.5,-9.858694842992573
71,324.0,27.923537020489402,324.0,-9.923537020489402
72,328.5,27.987371112643224,328.5,-9.987371112643224
73,333.0,28.048301671814674,333.0,-10.048301671814674
74,337.5,28.10430526640661,337.5,-10.104305266406609
75,342.0,28.153358464821906,342.0,-10.153358464821906
76,346.5,28.193437835463428,346.5,-10.193437835463428
77,351.0,28.22251994673405,351.0,-10.22251994673405
78,355.5,28.23858136703663,355.5,-10.23858136703663
79,360.0,28.239598664774054,360.0,-10.239598664774054
80,364.5,28.223548408349185,364.5,-10.223548408349185
81,369.0,28.18843813794685,369.0,-10.18843813794685
82,373.5,28.135299157353153,373.5,-10.135299157353153
83,378.0,28.070681483057495,378.0,-10.070681483057495
84,382.5,28.001722448303365,382.5,-10.001722448303365
85,387.0,27.935559386334265,387.0,-9.935559386334265
86,391.5,27.879329630393702,391.5,-9.879329630393702
87,396.0,27.840170513725177,396.0,-9.840170513725177
88,400.5,27.82521936957219,400.5,-9.825219369572189
89,405.0,27.841613531178243,405.0,-9.841613531178243
90,409.5,27.89649033178684,409.5,-9.89649033178684
91,414.0,27.99696785998227,414.0,-9.99696785998227
92,418.5,28.144956118451322,418.5,-10.144956118451322
93,423.0,28.33013512895562,423.0,-10.330135128955622
