,14.9_top_x,14.9_top_y,14.9_bottom_x,14.9_bottom_y
0,4.5,61.5,4.5,-43.5
1,9.0,54.76934582967966,9.0,-36.76934582967966
2,13.5,48.84019678321486,13.5,-30.840196783214857
3,18.0,43.666112704821764,18.0,-25.666112704821764
4,22.5,39.20065343871656,22.5,-21.200653438716557
5,27.0,35.3973788291154,27.0,-17.3973788291154
6,31.5,32.20984872023443,31.5,-14.209848720234433
7,36.0,29.591622956289825,36.0,-11.591622956289825
8,40.5,27.496261381497746,40.5,-9.496261381497746
9,45.0,25.87732384007435,45.0,-7.87732384007435
10,49.5,24.688370176235804,49.5,-6.688370176235804
11,54.0,23.882960234198272,54.0,-5.882960234198272
12,58.5,23.414653858177914,58.5,-5.414653858177914
13,63.0,23.237010892390884,63.0,-5.237010892390883
14,67.5,23.303591181053353,67.5,-5.303591181053353
15,72.0,23.567954568381488,72.0,-5.567954568381486
16,76.5,23.983660898591438,76.5,-5.983660898591438
17,81.0,24.50427001589937,81.0,-6.504270015899369
18,85.5,25.083341764521446,85.5,-7.083341764521446
19,90.0,25.67443598867383,90.0,-7.674435988673832
20,94.5,26.231112532572688,94.5,-8.231112532572688
21,99.0,26.71209811841955,99.0,-8.71209811841955
22,103.5,27.11215294945528,103.5,-9.112152949455279
23,108.0,27.44138193514617,108.0,-9.441381935146168
24,112.5,27.70994668595149,112.5,-9.70994668595149
25,117.0,27.928008812330535,117.0,-9.928008812330535
26,121.5,28.105729924742562,121.5,-10.105729924742562
27,126.0,28.253271633646854,126.0,-10.253271633646854
28,130.5,28.380795549502693,130.5,-10.380795549502693
29,135.0,28.49846328276935,135.0,-10.49846328276935
30,139.5,28.616436443906093,139.5,-10.616436443906093
31,144.0,28.743978897454465,144.0,-10.743978897454465
32,148.5,28.881918852467187,148.5,-10.881918852467187
33,153.0,29.02646252924863,153.0,-11.02646252924863
34,157.5,29.173768806033248,157.5,-11.173768806033248
35,162.0,29.319996561055518,162.0,-11.319996561055518
36,166.5,29.46130467254991,166.5,-11.461304672549911
37,171.0,29.59385201875089,171.0,-11.59385201875089
38,175.5,29.713797477892935,175.5,-11.713797477892935
39,180.0,29.817299928210513,180.0,-11.817299928210513
40,184.5,29.90051824793809,184.5,-11.900518247938091
41,189.0,29.96007499610543,189.0,-11.96007499610543
42,193.5,29.998621933920017,193.5,-11.998621933920017
43,198.0,30.023027208596602,198.0,-12.023027208596602
44,202.5,30.04024548504936,202.5,-12.040245485049361
45,207.0,30.057231428192445,207.0,-12.057231428192445
46,211.5,30.08093970294003,211.5,-12.080939702940029
47,216.0,30.118324974206267,216.0,-12.118324974206267
48,220.5,30.176341906905325,220.5,-12.176341906905325
49,225.0,30.261945165951374,225.0,-12.261945165951374
50,229.5,30.38208941625857,229.5,-12.38208941625857
51,234.0,30.543271738768624,234.0,-12.543271738768624
52,238.5,30.74341163338415,238.5,-12.743411633384149
53,243.0,30.972810674244204,243.0,-12.972810674244204
54,247.5,31.22150562994822,247.5,-13.221505629948219
55,252.0,31.47953326909564,252.0,-13.47953326909564
56,256.5,31.736930360285903,256.5,-13.736930360285903
57,261.0,31.98373367211847,261.0,-13.983733672118468
58,265.5,32.20997997319276,265.5,-14.209979973192759
59,270.0,32.40570603210823,270.0,-14.405706032108224
60,274.5,32.5609486174643,274.5,-14.560948617464298
61,279.0,32.666045217086044,279.0,-14.666045217086044
62,283.5,32.71998440948087,283.5,-14.719984409480869
63,288.0,32.73149567031216,288.0,-14.731495670312157
